order_id,building_id,latitude,longitude,order_time,order_amount,building_type
1,1,30.7333,76.7794,2023-01-01 23:16:50,100.1,residential
2,1,30.7333,76.7794,2023-01-01 10:00:48,160.2,residential
3,1,30.7333,76.7794,2023-01-01 05:04:49,381.41,residential
4,1,30.7333,76.7794,2023-01-01 19:51:22,89.12,residential
5,1,30.7333,76.7794,2023-01-01 15:21:42,64.3,residential
6,1,30.7333,76.7794,2023-01-01 03:24:40,148.39,residential
7,1,30.7333,76.7794,2023-01-01 18:23:57,320.91,residential
8,1,30.7333,76.7794,2023-01-01 20:26:03,139.48,residential
9,1,30.7333,76.7794,2023-01-01 23:39:41,365.6,residential
10,1,30.7333,76.7794,2023-01-01 15:16:27,149.2,residential
11,1,30.7333,76.7794,2023-01-01 21:27:16,175.19,residential
12,1,30.7333,76.7794,2023-01-01 00:14:11,391.46,residential
13,1,30.7333,76.7794,2023-01-01 05:48:46,364.16,residential
14,1,30.7333,76.7794,2023-01-01 12:23:17,175.04,residential
15,1,30.7333,76.7794,2023-01-01 07:50:21,480.75,residential
16,1,30.7333,76.7794,2023-01-01 12:15:18,95.99,residential
17,1,30.7333,76.7794,2023-01-01 13:49:57,93.52,residential
18,1,30.7333,76.7794,2023-01-01 12:31:22,321.68,residential
19,1,30.7333,76.7794,2023-01-01 01:34:55,378.38,residential
20,1,30.7333,76.7794,2023-01-01 19:31:24,106.17,residential
21,1,30.7333,76.7794,2023-01-01 13:46:55,85.46,residential
22,1,30.7333,76.7794,2023-01-01 10:40:27,423.23,residential
23,1,30.7333,76.7794,2023-01-01 22:31:10,448.45,residential
24,1,30.7333,76.7794,2023-01-01 13:10:00,309.81,residential
25,1,30.7333,76.7794,2023-01-01 02:31:56,70.62,residential
26,1,30.7333,76.7794,2023-01-01 08:17:51,397.88,residential
27,1,30.7333,76.7794,2023-01-01 02:54:18,434.89,residential
28,1,30.7333,76.7794,2023-01-01 03:40:38,221.06,residential
29,1,30.7333,76.7794,2023-01-01 16:30:29,336.06,residential
30,1,30.7333,76.7794,2023-01-01 13:16:59,123.19,residential
31,1,30.7333,76.7794,2023-01-01 12:56:06,144.28,residential
32,1,30.7333,76.7794,2023-01-01 09:43:13,365.82,residential
33,1,30.7333,76.7794,2023-01-01 23:35:39,82.13,residential
34,1,30.7333,76.7794,2023-01-01 23:07:07,127.01,residential
35,1,30.7333,76.7794,2023-01-01 08:54:47,123.53,residential
36,1,30.7333,76.7794,2023-01-01 13:48:55,171.48,residential
37,1,30.7333,76.7794,2023-01-01 23:18:06,359.67,residential
38,1,30.7333,76.7794,2023-01-01 07:59:45,358.08,residential
39,1,30.7333,76.7794,2023-01-01 02:02:11,153.07,residential
40,1,30.7333,76.7794,2023-01-01 01:10:07,412.27,residential
41,1,30.7333,76.7794,2023-01-01 14:36:21,170.48,residential
42,1,30.7333,76.7794,2023-01-01 07:40:53,460.91,residential
43,1,30.7333,76.7794,2023-01-01 20:39:01,444.37,residential
44,1,30.7333,76.7794,2023-01-01 11:27:25,145.68,residential
45,1,30.7333,76.7794,2023-01-01 18:10:35,228.03,residential
46,1,30.7333,76.7794,2023-01-01 23:24:19,256.48,residential
47,1,30.7333,76.7794,2023-01-01 09:38:38,112.83,residential
48,2,30.735,76.78,2023-01-01 20:26:19,292.54,residential
49,2,30.735,76.78,2023-01-01 21:17:02,242.8,residential
50,2,30.735,76.78,2023-01-01 21:14:44,229.73,residential
51,2,30.735,76.78,2023-01-01 07:59:06,498.8,residential
52,2,30.735,76.78,2023-01-01 05:02:11,279.29,residential
53,2,30.735,76.78,2023-01-01 03:18:35,390.1,residential
54,2,30.735,76.78,2023-01-01 03:59:31,118.78,residential
55,2,30.735,76.78,2023-01-01 05:49:29,406.44,residential
